,year,month,airline
899,1986,April,Boeing
900,1986,May,Boeing
901,1986,May,TWA
902,1986,June,Boeing
903,1986,July,Air Lanka
904,1986,August,Lockheed
905,1986,August,China Airlines
906,1986,September,Boeing
907,1986,October,Grand Canyon Airlines
908,1986,October,Aeroflot
909,1986,November,LIAT
910,1986,November,Aeroméxico
911,1986,December,Douglas
912,1986,December,Pan Am
913,1987,January,Varig
914,1987,January,Boeing
915,1987,January,Skywest Airlines
916,1987,March,Aeroflot
917,1987,April,Northwest Airlink
918,1987,May,Garuda Indonesia
919,1987,May,Douglas
920,1987,May,American Eagle
921,1987,June,LOT
922,1987,June,Air New Zealand
923,1987,July,Boeing
924,1987,July,Aeroflot
925,1987,August,Philippine Airlines
926,1987,August,Hawker Siddeley
927,1987,October,Air Afrique
928,1987,November,Douglas
929,1987,November,Belize Air International
930,1987,November,Boeing
931,1987,December,Northwest Airlines
932,1987,December,Douglas
933,1987,December,Thai Airways
934,1987,December,Boeing
935,1987,December,Aero
936,1988,January,Condor Flugdienst
937,1988,January,Boeing
938,1988,January,China Southwest Airlines
939,1988,January,Aeroflot
940,1988,January,Trans-Colorado Airlines
941,1988,February,Aeroflot
942,1988,February,American Airlines
943,1988,February,Douglas
944,1988,February,Nürnberger Flugdienst
945,1988,March,AVAir
946,1988,March,Boeing
947,1988,March,Talia Airways
948,1988,April,Comair
949,1988,April,TAT
950,1988,May,Avianca
951,1988,May,Boeing
952,1988,June,Kuwait Airways
953,1988,June,Boeing
954,1988,July,Aloha Airlines
955,1988,July,Boeing
956,1988,August,Widerøe
957,1988,August,TACA
958,1988,September,Boeing
959,1988,September,Austral Líneas Aéreas
960,1988,September,Douglas
961,1988,October,Air France
962,1988,October,Iran Air
963,1988,November,British International Helicopters
964,1988,December,CAAC
965,1989,January,British Midland
966,1989,February,Boeing
967,1989,February,Boeing
968,1989,February,Independent Air
969,1989,March,Boeing
970,1989,March,Flying Tiger Line
971,1989,March,Boeing
972,1989,June,United Airlines
973,1989,June,Boeing
974,1989,July,Air Ontario
975,1989,July,Evergreen International Airlines
976,1989,July,Douglas
977,1989,August,Transbrasil
978,1989,August,Boeing
979,1989,August,Surinam Airways
980,1989,September,Douglas
981,1989,September,Interflug
982,1989,September,United Airlines
983,1989,September,Douglas
984,1989,September,Philippine Airlines
985,1989,October,Korean Air
986,1989,October,Douglas
987,1989,October,Olympic Aviation
988,1989,November,China Eastern Airlines
989,1989,November,Pakistan International Airlines
990,1989,November,Cubana de Aviación
991,1989,December,Varig
992,1989,December,Boeing
993,1990,January,Aeroflot
994,1990,January,SANSA
995,1990,January,Avianca
996,1990,February,Boeing
997,1990,April,Indian Airlines
998,1990,April,Atlantic Southeast Airlines
999,1990,May,Cessna
1000,1990,May,Cessna
1001,1990,June,Widerøe
1002,1990,August,Philippine Airlines
1003,1990,September,Boeing
1004,1990,October,Aerolift Philippines
1005,1990,November,British Airways
1006,1990,November,British Airways
1007,1990,December,Boeing
1008,1991,February,USAir
1009,1991,February,Boeing
1010,1991,February,SkyWest Airlines
1011,1991,March,Boeing
1012,1991,March,Ryan International Airlines
1013,1991,March,Douglas
1014,1991,March,LAN Chile
1015,1991,April,United Airlines
1016,1991,May,Boeing
1017,1991,May,Aeropostal Alas de Venezuela
1018,1991,July,Douglas
1019,1991,July,Aeroflot
